Mes,Hora,MP_2.5,MP_10,Temp._promedio_aire,Precipitacion_horaria,Humed._rel._Promedio,Presion_Atm,Rad_solar,Veloc_viento,Direccion_viento
1,10,3.4,15.57,16.1,0,68.1,1014,837,2,239.8
1,11,5.43,14.28,17.1,0,66,1015,956,2.4,202.2
1,12,1,23.71,17,0,59.4,1016,945,3.6,241.4
1,13,1,14.88,17.4,0,56.7,1016,1012,3.4,282.2
1,14,7.45,13.59,17.3,0,54.5,1017,982,3.7,271
1,15,4.07,10.93,17.1,0,51.7,1017,889,3.8,245.3
1,16,27.17,16.12,17.1,0,54.7,1018,772.1,3.1,234.7
1,17,9.5,13.82,16.9,0,49.4,1018,647.9,3.1,258.4
1,18,10.18,13.58,16.5,0,52,1018,433.8,3,264.9
1,8,13.18,141.4,10.5,0,97.4,1017,170.5,1.7,21.5
1,9,16.63,39.93,12.8,0,78.1,1018,392.8,0.3,90.5
1,10,7.3,18.41,14.4,0,72.3,1018,324.4,1,50.4
1,11,9.51,15.31,16,0,63.1,1018,703.9,1,80.8
1,12,8.83,14.84,16,0,62,1018,211.8,1.3,235.8
1,13,5.43,12.35,16.7,0,55.7,1018,672.3,1.6,199.3
1,14,4.07,10.2,17.8,0,51.7,1018,520,0.6,283.4
1,15,5.91,10.9,18,0,49.2,1018,781.9,2.3,199.3
1,16,5.42,17.73,18.1,0,62.5,1018,695.6,3,264.1
1,17,4.74,7.08,17.3,0,58,1017,527.8,3.1,260.1
1,18,4.07,8.82,17.5,0,56,1017,453.9,2.7,296.1
1,8,7.47,8.47,13.4,0,75.6,1019,344.9,1.4,171.7
1,9,4.57,8.09,15.8,0,65.2,1018,569.9,2.6,161.8
1,10,0,0,17.3,0,59.3,1018,758.4,1.3,187.4
1,11,5.43,7.85,18.7,0,53,1018,751.6,1.1,170.4
1,12,8.83,22.96,18.1,0,58.6,1017,450,0.5,183.5
1,13,8.35,15.33,19.8,0,47.1,1017,993,2,56.2
1,14,5,13.4,21.7,0,48.6,1016,980,1.8,174.5
1,15,0,0,20.8,0,48.5,1016,904,2.5,179.2
1,16,0,0,20.8,0,46.7,1016,782.7,3,255.4
1,17,0,0,19.4,0,51.9,1016,615.8,3.5,264.5
1,18,0,0,19.2,0,54.1,1015,346.1,2.1,251.5
1,8,0,0,14.2,0,89.2,1014,118.9,0.1,151.5
1,9,0,0,15,0,90.7,1014,311.2,0.8,343
1,10,0,0,16,0,87.2,1014,229,1.1,238.4
1,11,15.39,36.67,18,0,80.4,1014,535.9,1.2,326.8
1,12,26.71,8.08,18.8,0,80.5,1014,421.9,1.4,172.1
1,13,1,2.9,20.4,0,74.7,1014,642.3,1.9,227.4
1,14,1,2,20.9,0,69.7,1014,821,3,258.2
1,15,1,2,20.6,0,68.8,1014,773.7,3,285.4
1,16,1,3.28,20.3,0,68.9,1014,454.8,2.7,286.1
1,17,1,7.42,20.4,0,68.8,1015,554.1,2.3,302.8
1,18,1.36,5.95,19.7,0,73.6,1015,261.5,2.3,268.3
1,8,1,7.75,14.2,0,81,1019,128.6,2.8,123.1
1,9,1,18.24,14.9,0,71.1,1020,472.3,2.9,99.9
1,10,1,5.93,16.7,0,66.6,1019,782.2,3.5,113
1,11,1,4.07,18.4,0,57.6,1019,895,3,92
1,12,4.04,5.04,19.6,0,60,1019,991,2.8,164.8
1,13,4.07,5.07,20.6,0,52.4,1019,1012,2,233.9
1,14,1,5.96,21.4,0,43.7,1018,996,2,166.8
1,15,1.01,10.9,22.2,0,48.8,1018,914,1.8,80.8
1,16,1,12.36,21,0,53.4,1017,785.4,0.9,242.6
1,17,1,10.47,21.1,0,53.5,1017,618.2,0.6,240.6
1,18,1,11.63,21.1,0,56.8,1016,425.1,0.1,239.7
1,8,1,17.88,12.8,0,73.1,1015,172.1,0.9,82.7
1,9,2.03,13.58,14.5,0,67,1014,313.1,0.8,131.6
1,10,3.1,13.77,15,0,62,1014,364,1.6,109.6
1,11,4.07,11.91,17,0,56.5,1014,722.6,0.4,151.1
1,12,2.04,15.57,17.3,0,61.2,1013,395.7,0,118.2
1,13,2.04,13.8,17.6,0,58.3,1013,351.4,0,105.9
1,14,4.75,20.37,17.6,0,64.3,1013,303.2,0,274
1,15,2.04,16.1,19.5,0,63.9,1013,898,0.3,327.6
1,16,1,16.09,21.7,0,52.5,1012,780.8,0.1,347.2
1,17,2.72,19.95,22.6,0,50.4,1012,618.4,1.2,206
1,18,4.07,17.55,22.4,0,49.9,1012,427.8,1.7,256.7
1,8,4.75,19.42,13.9,0,73.5,1015,373.5,2.9,102.1
1,9,4.9,7.37,15.4,0,72,1015,574.5,2.7,106.3
1,10,3.4,6.79,16.3,0,66.8,1015,753.1,2.2,85.4
1,11,1,4.85,18.3,0,60.4,1014,888,1.9,183.7
1,12,2.72,4.88,19.5,0,55,1014,966,1.9,85.3
1,13,4.07,6.79,21.4,0,55.7,1013,1007,1.7,257.6
1,14,3.41,9.5,21.9,0,53,1013,984,2.5,185.6
1,15,2.72,11.61,21.2,0,52.6,1013,899,2,285.7
1,16,1.36,15.6,20.8,0,59.7,1012,792.4,3.1,263.4
1,17,1.65,4.49,18.8,0,54,1013,611.4,3.2,250.2
1,18,1,7.08,18.9,0,52.5,1013,428.2,1.5,321.3
1,8,8.83,37.39,11.5,0,89.9,1015,103.1,1.6,0.2
1,9,6.11,29.86,13.1,0,81.5,1015,251.4,1.1,284.4
1,10,5.43,31.99,14.9,0,74.1,1016,352,0.8,284.8
1,11,5.85,13.58,16.8,0,72.4,1016,718.9,1.7,43.9
1,12,4.07,19.88,17.4,0,78,1016,345.1,2.1,292.5
1,13,5.43,1,17.2,0.1,88.6,1016,226.9,1.3,24.8
1,14,3.4,1,17,0.1,94.4,1016,227.1,1.1,244.2
1,15,3.1,1,17.4,0,89.5,1016,275.9,2.6,326.3
1,16,5.43,6.43,18.6,0,80.1,1016,544.5,2.2,252.2
1,17,4.07,7.37,18,0,88.2,1017,310.9,1.7,286.7
1,18,3.4,3.98,17.5,0,91.6,1017,185,1.3,308.9
1,8,6.11,0,13.8,0,79.6,1019,253.5,0.6,177.5
1,9,1.36,0,15.9,0,71.4,1019,205.4,1.5,171.7
1,10,1,0,17.9,0,56.8,1018,718.3,1.2,39.1
1,11,2.33,0,18.9,0,46.8,1018,942,2,107.6
1,12,4.07,0,19.8,0,46,1018,972,2.2,159.3
1,13,4.07,0,20,0,47.7,1018,670.1,1.9,304.8
1,14,4.07,0,19.5,0,56,1017,934,4.1,288.7
1,15,6.11,0,19.8,0,55.2,1017,856,3.4,262.9
1,16,6.03,0,19.5,0,54.1,1017,764.6,3.6,243.3
1,17,2.45,0,19.7,0,60.2,1016,608.6,2.9,261
1,18,3.25,0,19.3,0,55.2,1016,421.6,3.3,258.9
1,8,12.4,0,14.2,0,73.1,1018,346.8,1.2,227.5
1,9,8.83,0,16.3,0,62.6,1017,549.4,2.3,165.5
1,10,3.4,0,18.2,0,58.4,1017,725.8,1.1,88.5
1,11,3.41,0,19.4,0,52.7,1016,866,1.9,91.8
1,12,3.4,0,21,0,47.2,1016,952,1.4,122.5
1,13,1.36,0,22.5,0,44.1,1015,995,1.6,221.4
1,14,1.36,0,23.4,0,43.9,1014,973,1.7,97.2
